Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,15.0,15.0,15.0,15.0,15.0,0,2020-01-02
2020-01-03,15.0,15.0,15.0,15.0,15.0,0,2020-01-03
2020-01-06,15.0,15.0,15.0,15.0,15.0,0,2020-01-06
2020-01-07,15.0,15.0,15.0,15.0,15.0,0,2020-01-07
2020-01-08,15.0,15.0,15.0,15.0,15.0,0,2020-01-08
2020-01-09,15.0,15.0,15.0,15.0,15.0,0,2020-01-09
2020-01-10,15.0,15.0,15.0,15.0,15.0,0,2020-01-10
2020-01-13,15.0,15.0,15.0,15.0,15.0,0,2020-01-13
2020-01-14,15.0,15.0,15.0,15.0,15.0,0,2020-01-14
2020-01-15,15.0,15.0,15.0,15.0,15.0,0,2020-01-15
2020-01-16,15.0,15.0,15.0,15.0,15.0,0,2020-01-16
2020-01-17,15.0,15.0,15.0,15.0,15.0,0,2020-01-17
2020-01-21,15.0,15.0,15.0,15.0,15.0,0,2020-01-21
2020-01-22,15.0,15.0,15.0,15.0,15.0,0,2020-01-22
2020-01-23,15.0,15.0,15.0,15.0,15.0,0,2020-01-23
2020-01-24,15.0,15.0,15.0,15.0,15.0,0,2020-01-24
2020-01-27,15.0,15.0,15.0,15.0,15.0,0,2020-01-27
2020-01-28,15.0,15.0,15.0,15.0,15.0,0,2020-01-28
2020-01-29,15.0,15.0,15.0,15.0,15.0,0,2020-01-29
2020-01-30,15.0,15.0,15.0,15.0,15.0,0,2020-01-30
2020-01-31,15.0,15.0,15.0,15.0,15.0,0,2020-01-31
2020-02-03,15.0,15.0,15.0,15.0,15.0,0,2020-02-03
2020-02-04,15.0,15.0,15.0,15.0,15.0,0,2020-02-04
2020-02-05,15.0,15.0,15.0,15.0,15.0,0,2020-02-05
2020-02-06,15.0,15.0,15.0,15.0,15.0,0,2020-02-06
2020-02-07,15.0,15.0,15.0,15.0,15.0,0,2020-02-07
2020-02-10,15.0,15.0,15.0,15.0,15.0,0,2020-02-10
2020-02-11,15.0,15.0,15.0,15.0,15.0,0,2020-02-11
2020-02-12,15.0,15.0,15.0,15.0,15.0,0,2020-02-12
2020-02-13,15.0,15.0,15.0,15.0,15.0,0,2020-02-13
2020-02-14,15.0,15.0,15.0,15.0,15.0,0,2020-02-14
2020-02-18,15.0,15.0,15.0,15.0,15.0,0,2020-02-18
2020-02-19,15.0,15.0,15.0,15.0,15.0,0,2020-02-19
2020-02-20,15.0,15.0,15.0,15.0,15.0,0,2020-02-20
2020-02-21,15.0,15.0,15.0,15.0,15.0,0,2020-02-21
2020-02-24,15.0,15.0,15.0,15.0,15.0,0,2020-02-24
2020-02-25,15.0,15.0,15.0,15.0,15.0,0,2020-02-25
2020-02-26,15.0,15.0,15.0,15.0,15.0,0,2020-02-26
2020-02-27,15.0,15.0,15.0,15.0,15.0,0,2020-02-27
2020-02-28,15.0,15.0,15.0,15.0,15.0,0,2020-02-28
2020-03-02,15.0,15.0,15.0,15.0,15.0,0,2020-03-02
2020-03-03,15.0,15.0,15.0,15.0,15.0,0,2020-03-03
2020-03-04,15.0,15.0,15.0,15.0,15.0,0,2020-03-04
2020-03-05,15.0,15.0,15.0,15.0,15.0,0,2020-03-05
2020-03-06,15.0,15.0,15.0,15.0,15.0,0,2020-03-06
2020-03-09,15.0,15.0,15.0,15.0,15.0,0,2020-03-09
2020-03-10,15.0,15.0,15.0,15.0,15.0,0,2020-03-10
2020-03-11,15.0,15.0,15.0,15.0,15.0,0,2020-03-11
2020-03-12,15.0,15.0,15.0,15.0,15.0,0,2020-03-12
2020-03-13,15.0,15.0,15.0,15.0,15.0,0,2020-03-13
2020-03-16,15.0,15.0,15.0,15.0,15.0,0,2020-03-16
2020-03-17,15.0,15.0,15.0,15.0,15.0,0,2020-03-17
2020-03-18,15.0,15.0,15.0,15.0,15.0,0,2020-03-18
2020-03-19,15.0,15.0,15.0,15.0,15.0,0,2020-03-19
2020-03-20,15.0,15.0,15.0,15.0,15.0,0,2020-03-20
2020-03-23,15.0,15.0,15.0,15.0,15.0,0,2020-03-23
2020-03-24,15.0,15.0,15.0,15.0,15.0,0,2020-03-24
2020-03-25,15.0,15.0,15.0,15.0,15.0,0,2020-03-25
2020-03-26,15.0,15.0,15.0,15.0,15.0,0,2020-03-26
2020-03-27,15.0,15.0,15.0,15.0,15.0,0,2020-03-27
2020-03-30,15.0,15.0,15.0,15.0,15.0,0,2020-03-30
2020-03-31,15.0,15.0,15.0,15.0,15.0,0,2020-03-31
2020-04-01,15.0,15.0,15.0,15.0,15.0,0,2020-04-01
2020-04-02,15.0,15.0,15.0,15.0,15.0,0,2020-04-02
2020-04-03,15.0,15.0,15.0,15.0,15.0,0,2020-04-03
2020-04-06,15.0,15.0,15.0,15.0,15.0,0,2020-04-06
2020-04-07,15.0,15.0,15.0,15.0,15.0,0,2020-04-07
2020-04-08,15.0,15.0,15.0,15.0,15.0,0,2020-04-08
2020-04-09,15.0,15.0,15.0,15.0,15.0,0,2020-04-09
2020-04-13,15.0,15.0,15.0,15.0,15.0,0,2020-04-13
2020-04-14,15.0,15.0,15.0,15.0,15.0,0,2020-04-14
2020-04-15,15.0,15.0,15.0,15.0,15.0,0,2020-04-15
2020-04-16,15.0,15.0,15.0,15.0,15.0,0,2020-04-16
