Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,12.130000114440918,12.529999732971191,11.800000190734863,12.5,12.5,885000,2020-01-02
2020-01-03,12.25,12.324999809265137,12.010000228881836,12.119999885559082,12.119999885559082,498400,2020-01-03
2020-01-06,12.0,12.199999809265137,11.859999656677246,12.149999618530273,12.149999618530273,361600,2020-01-06
2020-01-07,12.199999809265137,12.46500015258789,12.055000305175781,12.430000305175781,12.430000305175781,330500,2020-01-07
2020-01-08,12.40999984741211,12.819999694824219,12.369999885559082,12.699999809265137,12.699999809265137,520600,2020-01-08
2020-01-09,12.890000343322754,13.880000114440918,12.859999656677246,13.0600004196167,13.0600004196167,1633300,2020-01-09
2020-01-10,13.100000381469727,13.25,12.59000015258789,12.930000305175781,12.930000305175781,855300,2020-01-10
2020-01-13,13.0,13.579999923706055,12.859999656677246,13.539999961853027,13.539999961853027,696500,2020-01-13
2020-01-14,13.8100004196167,13.880000114440918,13.399999618530273,13.859999656677246,13.859999656677246,778900,2020-01-14
2020-01-15,13.920000076293945,15.680000305175781,13.899999618530273,15.600000381469727,15.600000381469727,2104000,2020-01-15
2020-01-16,15.90999984741211,15.979999542236328,14.029999732971191,14.345000267028809,14.345000267028809,2333200,2020-01-16
2020-01-17,14.579999923706055,14.890000343322754,13.609999656677246,14.119999885559082,14.119999885559082,988400,2020-01-17
2020-01-21,14.0600004196167,14.100000381469727,13.5,13.699999809265137,13.699999809265137,1156800,2020-01-21
2020-01-22,13.75,14.420000076293945,13.470000267028809,14.25,14.25,792200,2020-01-22
2020-01-23,14.220000267028809,14.574000358581543,13.91100025177002,14.229999542236328,14.229999542236328,518200,2020-01-23
2020-01-24,14.329999923706055,14.800000190734863,13.800000190734863,13.960000038146973,13.960000038146973,649600,2020-01-24
2020-01-27,13.470000267028809,13.5600004196167,13.069999694824219,13.260000228881836,13.260000228881836,585700,2020-01-27
2020-01-28,13.350000381469727,13.380000114440918,12.90999984741211,12.9399995803833,12.9399995803833,602600,2020-01-28
2020-01-29,12.890000343322754,12.984999656677246,11.899999618530273,11.930000305175781,11.930000305175781,1142000,2020-01-29
2020-01-30,11.739999771118164,11.880000114440918,11.199999809265137,11.649999618530273,11.649999618530273,984300,2020-01-30
2020-01-31,11.550000190734863,11.6899995803833,11.210000038146973,11.300000190734863,11.300000190734863,731500,2020-01-31
2020-02-03,11.430000305175781,11.960000038146973,11.154999732971191,11.619999885559082,11.619999885559082,770000,2020-02-03
2020-02-04,11.859999656677246,12.40999984741211,11.640000343322754,12.399999618530273,12.399999618530273,953900,2020-02-04
2020-02-05,12.40999984741211,12.50100040435791,11.8100004196167,12.130000114440918,12.130000114440918,663800,2020-02-05
2020-02-06,12.109999656677246,12.140000343322754,11.579999923706055,11.579999923706055,11.579999923706055,668200,2020-02-06
2020-02-07,11.600000381469727,11.600000381469727,11.239999771118164,11.270000457763672,11.270000457763672,594900,2020-02-07
2020-02-10,11.210000038146973,11.520000457763672,11.010000228881836,11.300000190734863,11.300000190734863,566600,2020-02-10
2020-02-11,11.399999618530273,11.65999984741211,11.109999656677246,11.510000228881836,11.510000228881836,649200,2020-02-11
2020-02-12,11.600000381469727,12.479999542236328,11.5,12.460000038146973,12.460000038146973,995200,2020-02-12
2020-02-13,12.199999809265137,12.890000343322754,12.0600004196167,12.75,12.75,1002300,2020-02-13
2020-02-14,12.699999809265137,12.729999542236328,11.8100004196167,11.899999618530273,11.899999618530273,1006400,2020-02-14
2020-02-18,11.770000457763672,12.100000381469727,11.579999923706055,11.75,11.75,653300,2020-02-18
2020-02-19,11.779999732971191,12.199999809265137,11.449999809265137,12.079999923706055,12.079999923706055,978700,2020-02-19
2020-02-20,12.020000457763672,12.298999786376953,11.586999893188477,11.819999694824219,11.819999694824219,827500,2020-02-20
2020-02-21,11.699999809265137,11.699999809265137,10.87399959564209,11.279999732971191,11.279999732971191,1419700,2020-02-21
2020-02-24,10.539999961853027,10.75,10.420000076293945,10.585000038146973,10.585000038146973,725600,2020-02-24
2020-02-25,10.720000267028809,10.824999809265137,10.100000381469727,10.194999694824219,10.194999694824219,664500,2020-02-25
2020-02-26,10.270000457763672,10.470000267028809,10.020000457763672,10.180000305175781,10.180000305175781,713200,2020-02-26
2020-02-27,9.899999618530273,10.020000457763672,9.369999885559082,9.5600004196167,9.5600004196167,1027100,2020-02-27
2020-02-28,8.949999809265137,9.729999542236328,8.539999961853027,8.930000305175781,8.930000305175781,1480600,2020-02-28
2020-03-02,8.949999809265137,9.279999732971191,8.649999618530273,9.029999732971191,9.029999732971191,934700,2020-03-02
2020-03-03,9.029999732971191,9.470000267028809,8.850000381469727,9.399999618530273,9.399999618530273,703600,2020-03-03
2020-03-04,9.609999656677246,9.609999656677246,9.130000114440918,9.380000114440918,9.380000114440918,540500,2020-03-04
2020-03-05,9.1899995803833,9.25,8.859999656677246,9.039999961853027,9.039999961853027,558300,2020-03-05
2020-03-06,8.75,8.9399995803833,8.53499984741211,8.789999961853027,8.789999961853027,800700,2020-03-06
2020-03-09,8.069999694824219,8.270000457763672,7.5879998207092285,7.71999979019165,7.71999979019165,1214700,2020-03-09
2020-03-10,8.09000015258789,8.215999603271484,7.71999979019165,8.119999885559082,8.119999885559082,828800,2020-03-10
2020-03-11,7.829999923706055,8.039999961853027,6.989999771118164,7.039999961853027,7.039999961853027,933700,2020-03-11
2020-03-12,6.309999942779541,6.5,5.664999961853027,5.679999828338623,5.679999828338623,1065200,2020-03-12
2020-03-13,6.199999809265137,6.230000019073486,5.610000133514404,6.110000133514404,6.110000133514404,990700,2020-03-13
2020-03-16,5.53000020980835,6.159999847412109,5.360000133514404,5.639999866485596,5.639999866485596,763000,2020-03-16
2020-03-17,5.800000190734863,6.139999866485596,5.510000228881836,5.960000038146973,5.960000038146973,1246500,2020-03-17
2020-03-18,5.559999942779541,5.809999942779541,5.0,5.5,5.5,1207400,2020-03-18
2020-03-19,5.510000228881836,6.599999904632568,5.447999954223633,6.550000190734863,6.550000190734863,1028700,2020-03-19
2020-03-20,6.659999847412109,7.960000038146973,6.539999961853027,6.739999771118164,6.739999771118164,1171700,2020-03-20
2020-03-23,7.050000190734863,7.5,6.775000095367432,6.900000095367432,6.900000095367432,959600,2020-03-23
2020-03-24,7.329999923706055,7.699999809265137,7.050000190734863,7.699999809265137,7.699999809265137,842800,2020-03-24
2020-03-25,7.78000020980835,8.149999618530273,7.340000152587891,7.449999809265137,7.449999809265137,495700,2020-03-25
2020-03-26,7.519999980926514,7.747000217437744,6.940000057220459,6.960000038146973,6.960000038146973,936900,2020-03-26
2020-03-27,6.760000228881836,8.039999961853027,6.320000171661377,7.480000019073486,7.480000019073486,1425900,2020-03-27
2020-03-30,7.5,7.619999885559082,7.03000020980835,7.599999904632568,7.599999904632568,707100,2020-03-30
2020-03-31,7.630000114440918,7.889999866485596,7.309999942779541,7.590000152587891,7.590000152587891,466100,2020-03-31
2020-04-01,7.340000152587891,7.48799991607666,7.179999828338623,7.320000171661377,7.320000171661377,348900,2020-04-01
2020-04-02,7.340000152587891,7.800000190734863,7.190000057220459,7.690000057220459,7.690000057220459,653300,2020-04-02
2020-04-03,7.690000057220459,7.840000152587891,7.059999942779541,7.449999809265137,7.449999809265137,557800,2020-04-03
2020-04-06,7.78000020980835,7.945000171661377,7.5,7.920000076293945,7.920000076293945,728400,2020-04-06
2020-04-07,8.109999656677246,8.350000381469727,7.820000171661377,7.940000057220459,7.940000057220459,578500,2020-04-07
2020-04-08,8.050000190734863,8.5,7.949999809265137,8.010000228881836,8.010000228881836,537600,2020-04-08
2020-04-09,8.130000114440918,8.190999984741211,7.585000038146973,7.760000228881836,7.760000228881836,710700,2020-04-09
