Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-03-23,13.0,20.0,9.0,18.0,18.0,7204,2020-03-23
2020-03-24,20.0,21.0,18.0,19.0,19.0,3341,2020-03-24
2020-03-25,20.0,20.0,15.0,15.0,15.0,1757,2020-03-25
2020-03-26,18.0,22.0,16.0,21.0,21.0,3227,2020-03-26
2020-03-27,22.0,22.0,19.0,22.0,22.0,850,2020-03-27
2020-03-30,26.0,30.0,24.0,24.0,24.0,1496,2020-03-30
2020-03-31,26.0,27.0,23.0,26.0,26.0,503,2020-03-31
2020-04-01,24.0,24.0,16.0,16.0,16.0,1645,2020-04-01
2020-04-02,16.0,20.0,16.0,20.0,20.0,489,2020-04-02
2020-04-03,18.0,19.0,16.0,19.0,19.0,409,2020-04-03
2020-04-06,18.0,19.0,18.0,19.0,19.0,401,2020-04-06
2020-04-07,22.0,22.0,19.0,19.0,19.0,503,2020-04-07
2020-04-08,19.0,19.0,19.0,19.0,19.0,335,2020-04-08
2020-04-09,19.0,19.0,19.0,19.0,19.0,107,2020-04-09
2020-04-13,19.0,19.0,17.0,19.0,19.0,680,2020-04-13
2020-04-14,19.0,19.0,16.0,19.0,19.0,457,2020-04-14
2020-04-15,16.0,19.0,16.0,19.0,19.0,99,2020-04-15
2020-04-16,19.0,19.0,17.0,19.0,19.0,502,2020-04-16
2020-04-17,19.0,19.0,17.0,19.0,19.0,781,2020-04-17
2020-04-20,18.0,19.0,17.0,19.0,19.0,217,2020-04-20
2020-04-21,19.0,19.0,17.0,17.0,17.0,369,2020-04-21
2020-04-22,17.0,19.0,17.0,18.0,18.0,240,2020-04-22
2020-04-23,18.0,18.0,16.0,18.0,18.0,104,2020-04-23
2020-04-24,18.0,18.0,16.0,17.0,17.0,294,2020-04-24
2020-04-27,18.0,18.0,17.0,17.0,17.0,839,2020-04-27
2020-04-28,17.0,19.0,17.0,18.0,18.0,2577,2020-04-28
2020-04-29,19.0,27.0,17.0,19.0,19.0,5165,2020-04-29
2020-04-30,21.0,21.0,19.0,19.0,19.0,3802,2020-04-30
2020-05-01,19.0,20.0,18.0,19.0,19.0,1180,2020-05-01
2020-05-04,22.0,25.0,18.0,19.0,19.0,6611,2020-05-04
2020-05-05,20.0,21.0,18.0,20.0,20.0,1204,2020-05-05
2020-05-06,20.0,20.0,17.0,18.0,18.0,959,2020-05-06
2020-05-07,18.0,21.0,17.0,19.0,19.0,2614,2020-05-07
2020-05-08,19.0,19.0,18.0,19.0,19.0,645,2020-05-08
2020-05-11,19.0,19.0,17.0,17.0,17.0,172,2020-05-11
2020-05-12,17.0,19.0,17.0,17.0,17.0,1072,2020-05-12
2020-05-13,18.0,18.0,17.0,18.0,18.0,1480,2020-05-13
2020-05-14,18.0,18.0,17.0,17.0,17.0,2715,2020-05-14
2020-05-15,17.0,18.0,17.0,17.0,17.0,4608,2020-05-15
2020-05-18,19.0,19.0,17.0,17.0,17.0,1188,2020-05-18
2020-05-19,17.0,18.0,16.0,18.0,18.0,1310,2020-05-19
2020-05-20,17.0,20.0,16.0,16.0,16.0,4162,2020-05-20
2020-05-21,17.0,18.0,16.0,18.0,18.0,2429,2020-05-21
2020-05-22,18.0,19.0,15.0,17.0,17.0,2210,2020-05-22
2020-05-26,16.0,17.0,15.0,17.0,17.0,835,2020-05-26
2020-05-27,17.0,23.0,15.0,18.0,18.0,31937,2020-05-27
2020-05-28,19.0,24.0,18.0,19.0,19.0,14330,2020-05-28
2020-05-29,21.0,23.0,18.0,18.0,18.0,7854,2020-05-29
2020-06-01,18.0,19.0,18.0,18.0,18.0,1469,2020-06-01
2020-06-02,18.0,18.0,18.0,18.0,18.0,604,2020-06-02
2020-06-03,18.0,18.0,17.0,17.0,17.0,1330,2020-06-03
2020-06-04,17.0,18.0,17.0,18.0,18.0,937,2020-06-04
2020-06-05,19.0,19.0,16.0,16.0,16.0,4020,2020-06-05
2020-06-08,18.0,18.0,16.0,16.0,16.0,832,2020-06-08
2020-06-09,15.0,17.0,14.0,16.0,16.0,2080,2020-06-09
2020-06-10,17.0,17.0,15.0,16.0,16.0,861,2020-06-10
2020-06-11,16.0,17.0,15.0,16.0,16.0,609,2020-06-11
2020-06-12,15.0,17.0,15.0,17.0,17.0,448,2020-06-12
2020-06-15,17.0,17.0,15.0,17.0,17.0,159,2020-06-15
2020-06-16,17.0,17.0,16.0,16.0,16.0,447,2020-06-16
2020-06-17,17.0,17.0,16.0,17.0,17.0,889,2020-06-17
2020-06-18,17.0,17.0,15.0,17.0,17.0,350,2020-06-18
2020-06-19,17.0,17.0,17.0,17.0,17.0,219,2020-06-19
2020-06-22,17.0,17.0,14.0,16.0,16.0,1520,2020-06-22
2020-06-23,16.0,16.0,14.0,16.0,16.0,291,2020-06-23
2020-06-24,16.0,17.0,15.0,16.0,16.0,345,2020-06-24
2020-06-25,17.0,17.0,16.0,16.0,16.0,240,2020-06-25
2020-06-26,16.0,16.0,15.0,15.0,15.0,29,2020-06-26
2020-06-29,15.0,16.0,14.0,15.0,15.0,234,2020-06-29
2020-06-30,16.0,16.0,15.0,15.0,15.0,50,2020-06-30
2020-07-01,16.0,17.0,14.0,14.0,14.0,596,2020-07-01
2020-07-02,14.0,17.0,14.0,17.0,17.0,300,2020-07-02
2020-07-06,14.0,17.0,13.0,16.0,16.0,956,2020-07-06
2020-07-07,13.0,16.0,13.0,13.0,13.0,360,2020-07-07
2020-07-08,14.0,16.0,14.0,15.0,15.0,217,2020-07-08
2020-07-09,14.0,15.0,14.0,15.0,15.0,191,2020-07-09
2020-07-10,15.0,15.0,14.0,14.0,14.0,270,2020-07-10
2020-07-13,14.0,15.0,14.0,15.0,15.0,401,2020-07-13
2020-07-14,14.0,14.0,12.0,12.0,12.0,1200,2020-07-14
2020-07-15,13.0,13.0,13.0,13.0,13.0,387,2020-07-15
2020-07-16,14.0,14.0,13.0,14.0,14.0,1975,2020-07-16
2020-07-17,14.0,14.0,14.0,14.0,14.0,100,2020-07-17
2020-07-20,14.0,14.0,13.0,14.0,14.0,583,2020-07-20
2020-07-21,13.0,15.0,13.0,14.0,14.0,2011,2020-07-21
2020-07-22,13.0,15.0,13.0,14.0,14.0,2332,2020-07-22
2020-07-23,14.0,15.0,14.0,14.0,14.0,2463,2020-07-23
2020-07-24,14.0,14.0,13.0,14.0,14.0,613,2020-07-24
2020-07-27,13.0,14.0,13.0,14.0,14.0,207,2020-07-27
2020-07-28,13.0,14.0,13.0,14.0,14.0,784,2020-07-28
2020-07-29,13.0,14.0,13.0,14.0,14.0,633,2020-07-29
2020-07-30,13.0,14.0,13.0,13.0,13.0,392,2020-07-30
2020-07-31,13.0,13.0,13.0,13.0,13.0,42,2020-07-31
2020-08-03,13.0,14.0,10.0,13.0,13.0,4870,2020-08-03
2020-08-04,12.0,14.0,12.0,14.0,14.0,1335,2020-08-04
2020-08-05,14.0,14.0,14.0,14.0,14.0,765,2020-08-05
2020-08-06,14.0,14.0,14.0,14.0,14.0,244,2020-08-06
2020-08-07,14.0,14.0,14.0,14.0,14.0,247,2020-08-07
2020-08-10,14.0,15.0,13.0,13.0,13.0,1025,2020-08-10
2020-08-11,13.0,14.0,11.0,14.0,14.0,2136,2020-08-11
2020-08-12,12.0,14.0,12.0,14.0,14.0,296,2020-08-12
2020-08-13,13.0,14.0,12.0,12.0,12.0,546,2020-08-13
2020-08-14,13.0,13.0,12.0,12.0,12.0,263,2020-08-14
2020-08-17,12.0,13.0,12.0,13.0,13.0,606,2020-08-17
2020-08-18,13.0,13.0,12.0,12.0,12.0,392,2020-08-18
2020-08-19,12.0,13.0,12.0,12.0,12.0,1162,2020-08-19
2020-08-20,12.0,13.0,12.0,12.0,12.0,1232,2020-08-20
2020-08-21,11.0,12.0,11.0,12.0,12.0,194,2020-08-21
2020-08-24,12.0,13.0,12.0,13.0,13.0,1652,2020-08-24
2020-08-25,13.0,13.0,12.0,12.0,12.0,833,2020-08-25
2020-08-26,12.0,12.0,12.0,12.0,12.0,81,2020-08-26
2020-08-27,12.0,13.0,11.0,11.0,11.0,1729,2020-08-27
2020-08-28,13.0,13.0,11.0,11.0,11.0,1872,2020-08-28
2020-08-31,11.0,13.0,11.0,12.0,12.0,3071,2020-08-31
2020-09-01,11.0,21.0,11.0,17.0,17.0,8586,2020-09-01
2020-09-02,15.0,16.0,15.0,16.0,16.0,1409,2020-09-02
2020-09-03,17.0,17.0,14.0,16.0,16.0,2451,2020-09-03
2020-09-04,17.0,17.0,14.0,16.0,16.0,2437,2020-09-04
2020-09-08,17.0,18.0,14.0,16.0,16.0,28928,2020-09-08
2020-09-09,19.0,19.0,17.0,17.0,17.0,12532,2020-09-09
2020-09-10,17.0,18.0,17.0,17.0,17.0,5543,2020-09-10
2020-09-11,17.0,18.0,17.0,17.0,17.0,3391,2020-09-11
2020-09-14,18.0,19.0,16.0,17.0,17.0,5087,2020-09-14
2020-09-15,17.0,17.0,16.0,17.0,17.0,2221,2020-09-15
2020-09-16,18.0,18.0,16.0,16.0,16.0,2189,2020-09-16
2020-09-17,16.0,16.0,15.0,15.0,15.0,904,2020-09-17
2020-09-18,15.0,15.0,15.0,15.0,15.0,936,2020-09-18
2020-09-21,15.0,16.0,14.0,15.0,15.0,2024,2020-09-21
2020-09-22,15.0,16.0,14.0,15.0,15.0,791,2020-09-22
2020-09-23,15.0,15.0,14.0,14.0,14.0,1306,2020-09-23
2020-09-24,14.0,14.0,12.0,13.0,13.0,1414,2020-09-24
2020-09-25,13.0,13.0,12.0,13.0,13.0,747,2020-09-25
2020-09-28,13.0,14.0,12.0,13.0,13.0,971,2020-09-28
2020-09-29,16.0,16.0,13.0,13.0,13.0,694,2020-09-29
2020-09-30,15.0,15.0,13.0,14.0,14.0,518,2020-09-30
2020-10-01,13.0,16.0,13.0,14.0,14.0,515,2020-10-01
2020-10-02,13.0,14.0,13.0,14.0,14.0,1045,2020-10-02
2020-10-05,13.0,14.0,13.0,13.0,13.0,604,2020-10-05
2020-10-06,14.0,14.0,13.0,14.0,14.0,377,2020-10-06
2020-10-07,13.0,14.0,13.0,14.0,14.0,55,2020-10-07
2020-10-08,13.0,14.0,13.0,13.0,13.0,367,2020-10-08
2020-10-09,13.0,13.0,13.0,13.0,13.0,182,2020-10-09
2020-10-12,13.0,14.0,12.0,13.0,13.0,1273,2020-10-12
2020-10-13,13.0,13.0,12.0,13.0,13.0,239,2020-10-13
2020-10-14,13.0,13.0,12.0,12.0,12.0,745,2020-10-14
2020-10-15,12.0,13.0,12.0,12.0,12.0,1120,2020-10-15
2020-10-16,12.0,12.0,12.0,12.0,12.0,216,2020-10-16
2020-10-19,12.0,12.0,11.0,12.0,12.0,574,2020-10-19
2020-10-20,11.0,12.0,11.0,11.0,11.0,394,2020-10-20
2020-10-21,11.0,14.0,10.0,12.0,12.0,3443,2020-10-21
2020-10-22,12.0,12.0,11.0,11.0,11.0,691,2020-10-22
2020-10-23,11.0,11.0,11.0,11.0,11.0,665,2020-10-23
2020-10-26,11.0,11.0,10.0,10.0,10.0,860,2020-10-26
2020-10-27,10.0,12.0,10.0,12.0,12.0,21515,2020-10-27
2020-10-28,12.0,14.0,12.0,14.0,14.0,2958,2020-10-28
2020-10-29,14.0,16.0,14.0,16.0,16.0,2586,2020-10-29
2020-10-30,16.0,16.0,14.0,14.0,14.0,1766,2020-10-30
2020-11-02,16.0,16.0,14.0,14.0,14.0,1100,2020-11-02
2020-11-03,15.0,15.0,14.0,14.0,14.0,670,2020-11-03
2020-11-04,12.0,15.0,11.0,11.0,11.0,612,2020-11-04
2020-11-05,11.0,12.0,11.0,12.0,12.0,328,2020-11-05
2020-11-06,12.0,13.0,12.0,13.0,13.0,244,2020-11-06
2020-11-09,13.0,14.0,12.0,12.0,12.0,1678,2020-11-09
2020-11-10,12.0,14.0,10.0,11.0,11.0,3017,2020-11-10
2020-11-11,11.0,11.0,11.0,11.0,11.0,635,2020-11-11
2020-11-12,11.0,11.0,11.0,11.0,11.0,365,2020-11-12
2020-11-13,11.0,11.0,11.0,11.0,11.0,519,2020-11-13
2020-11-16,11.0,11.0,11.0,11.0,11.0,862,2020-11-16
2020-11-17,11.0,11.0,10.0,11.0,11.0,3649,2020-11-17
2020-11-18,11.0,11.0,7.0,8.0,8.0,7278,2020-11-18
2020-11-19,8.0,8.0,3.0,5.0,5.0,46467,2020-11-19
2020-11-20,5.0,7.0,5.0,6.0,6.0,14802,2020-11-20
2020-11-23,7.0,8.0,7.0,8.0,8.0,3074,2020-11-23
2020-11-24,9.0,9.0,7.0,8.0,8.0,2342,2020-11-24
2020-11-25,8.0,8.0,6.0,7.0,7.0,6591,2020-11-25
2020-11-27,7.0,8.0,7.0,8.0,8.0,2709,2020-11-27
2020-11-30,7.0,10.0,7.0,8.0,8.0,3831,2020-11-30
2020-12-01,8.0,11.0,8.0,9.0,9.0,9247,2020-12-01
2020-12-02,9.0,9.0,6.0,7.0,7.0,20228,2020-12-02
2020-12-03,6.0,8.0,6.0,8.0,8.0,4518,2020-12-03
2020-12-04,7.0,8.0,6.0,6.0,6.0,4530,2020-12-04
2020-12-07,7.0,7.0,6.0,6.0,6.0,4064,2020-12-07
2020-12-08,7.0,10.0,6.0,9.0,9.0,3568,2020-12-08
2020-12-09,4.190000057220459,4.25,3.549999952316284,4.199999809265137,4.199999809265137,276600,2020-12-09
2020-12-10,4.349999904632568,4.380000114440918,3.9000000953674316,4.199999809265137,4.199999809265137,71500,2020-12-10
2020-12-11,4.170000076293945,4.239999771118164,4.0,4.190000057220459,4.190000057220459,93400,2020-12-11
2020-12-14,4.349999904632568,4.349999904632568,4.050000190734863,4.090000152587891,4.090000152587891,94600,2020-12-14
2020-12-15,4.199999809265137,4.260000228881836,3.950000047683716,3.9800000190734863,3.9800000190734863,138800,2020-12-15
2020-12-16,4.119999885559082,4.119999885559082,3.569999933242798,3.8499999046325684,3.8499999046325684,104400,2020-12-16
2020-12-17,4.070000171661377,4.900000095367432,3.819999933242798,4.739999771118164,4.739999771118164,3233900,2020-12-17
2020-12-18,8.319999694824219,8.729999542236328,5.369999885559082,5.590000152587891,5.590000152587891,35334300,2020-12-18
2020-12-21,5.320000171661377,6.5,5.300000190734863,6.389999866485596,6.389999866485596,1751500,2020-12-21
2020-12-22,6.050000190734863,6.199999809265137,5.409999847412109,5.78000020980835,5.78000020980835,853100,2020-12-22
2020-12-23,5.519999980926514,5.639999866485596,5.0,5.179999828338623,5.179999828338623,771300,2020-12-23
2020-12-24,5.199999809265137,5.199999809265137,5.039999961853027,5.110000133514404,5.110000133514404,147100,2020-12-24
2020-12-28,5.0,5.0,4.599999904632568,4.670000076293945,4.670000076293945,493100,2020-12-28
2020-12-29,4.630000114440918,4.789999961853027,4.25,4.340000152587891,4.340000152587891,361600,2020-12-29
2020-12-30,4.380000114440918,4.489999771118164,4.150000095367432,4.440000057220459,4.440000057220459,382000,2020-12-30
2020-12-31,4.480000019073486,4.760000228881836,4.260000228881836,4.349999904632568,4.349999904632568,283700,2020-12-31
2021-01-04,4.400000095367432,4.710000038146973,4.159999847412109,4.25,4.25,180800,2021-01-04
2021-01-05,5.5,6.739999771118164,4.929999828338623,5.210000038146973,5.210000038146973,18404200,2021-01-05
2021-01-06,5.239999771118164,5.389999866485596,4.929999828338623,5.099999904632568,5.099999904632568,680700,2021-01-06
2021-01-07,5.019999980926514,5.099999904632568,4.599999904632568,4.650000095367432,4.650000095367432,474600,2021-01-07
2021-01-08,4.820000171661377,5.199999809265137,4.800000190734863,5.050000190734863,5.050000190734863,238000,2021-01-08
2021-01-11,4.900000095367432,5.099999904632568,4.659999847412109,4.800000190734863,4.800000190734863,283400,2021-01-11
2021-01-12,4.75,4.920000076293945,4.670000076293945,4.849999904632568,4.849999904632568,177300,2021-01-12
2021-01-13,4.849999904632568,5.25,4.800000190734863,5.03000020980835,5.03000020980835,269200,2021-01-13
2021-01-14,5.090000152587891,5.730000019073486,5.090000152587891,5.539999961853027,5.539999961853027,473900,2021-01-14
2021-01-15,5.599999904632568,5.760000228881836,5.210000038146973,5.699999809265137,5.699999809265137,340400,2021-01-15
2021-01-19,5.78000020980835,6.0,5.380000114440918,5.940000057220459,5.940000057220459,442300,2021-01-19
2021-01-20,5.980000019073486,6.179999828338623,5.599999904632568,5.739999771118164,5.739999771118164,357600,2021-01-20
2021-01-21,5.860000133514404,6.289999961853027,5.739999771118164,6.139999866485596,6.139999866485596,330200,2021-01-21
2021-01-22,6.050000190734863,6.320000171661377,6.019999980926514,6.150000095367432,6.150000095367432,209000,2021-01-22
2021-01-25,6.199999809265137,6.599999904632568,6.199999809265137,6.269999980926514,6.269999980926514,271600,2021-01-25
2021-01-26,6.599999904632568,6.599999904632568,6.050000190734863,6.239999771118164,6.239999771118164,152000,2021-01-26
2021-01-27,6.400000095367432,6.800000190734863,6.239999771118164,6.599999904632568,6.599999904632568,487800,2021-01-27
2021-01-28,6.46999979019165,6.78000020980835,6.0,6.0,6.0,295400,2021-01-28
2021-01-29,6.099999904632568,6.25,5.920000076293945,5.920000076293945,5.920000076293945,223100,2021-01-29
2021-02-01,6.070000171661377,6.900000095367432,6.050000190734863,6.75,6.75,421800,2021-02-01
2021-02-02,6.809999942779541,7.650000095367432,6.429999828338623,7.429999828338623,7.429999828338623,568000,2021-02-02
2021-02-03,7.550000190734863,8.449999809265137,7.239999771118164,8.25,8.25,1251500,2021-02-03
2021-02-04,10.0,15.3100004196167,10.0,13.149999618530273,13.149999618530273,12362000,2021-02-04
2021-02-05,11.59000015258789,11.739999771118164,9.569999694824219,10.390000343322754,10.390000343322754,1849100,2021-02-05
2021-02-08,11.520000457763672,11.949999809265137,10.800000190734863,11.220000267028809,11.220000267028809,724000,2021-02-08
2021-02-09,12.539999961853027,17.75,12.100000381469727,13.329999923706055,13.329999923706055,4972800,2021-02-09
2021-02-10,12.649999618530273,12.850000381469727,11.0600004196167,11.25,11.25,1132100,2021-02-10
2021-02-11,11.220000267028809,11.5,10.510000228881836,10.600000381469727,10.600000381469727,505200,2021-02-11
2021-02-12,10.350000381469727,10.890000343322754,9.800000190734863,10.59000015258789,10.59000015258789,441800,2021-02-12
2021-02-16,10.989999771118164,11.25,10.399999618530273,10.699999809265137,10.699999809265137,230600,2021-02-16
2021-02-17,10.819999694824219,10.890000343322754,9.600000381469727,9.899999618530273,9.899999618530273,467000,2021-02-17
2021-02-18,9.8100004196167,9.8100004196167,8.720000267028809,8.800000190734863,8.800000190734863,558200,2021-02-18
2021-02-19,9.100000381469727,9.5600004196167,9.079999923706055,9.300000190734863,9.300000190734863,183600,2021-02-19
2021-02-22,9.520000457763672,9.890000343322754,8.600000381469727,8.699999809265137,8.699999809265137,183600,2021-02-22
2021-02-23,8.25,8.550000190734863,7.510000228881836,7.800000190734863,7.800000190734863,298200,2021-02-23
2021-02-24,7.880000114440918,9.25,7.840000152587891,9.050000190734863,9.050000190734863,483700,2021-02-24
2021-02-25,8.869999885559082,9.34000015258789,8.050000190734863,8.119999885559082,8.119999885559082,266500,2021-02-25
2021-02-26,8.199999809265137,8.65999984741211,7.400000095367432,8.350000381469727,8.350000381469727,209400,2021-02-26
2021-03-01,8.5,8.890000343322754,8.100000381469727,8.619999885559082,8.619999885559082,186500,2021-03-01
2021-03-02,8.5,8.729999542236328,8.029999732971191,8.369999885559082,8.369999885559082,127800,2021-03-02
2021-03-03,8.289999961853027,8.890000343322754,8.050000190734863,8.239999771118164,8.239999771118164,201600,2021-03-03
2021-03-04,8.199999809265137,8.489999771118164,7.599999904632568,7.840000152587891,7.840000152587891,278500,2021-03-04
2021-03-05,8.039999961853027,8.119999885559082,6.5,7.460000038146973,7.460000038146973,349400,2021-03-05
2021-03-08,7.619999885559082,8.5,7.619999885559082,7.900000095367432,7.900000095367432,201000,2021-03-08
2021-03-09,9.050000190734863,11.600000381469727,8.819999694824219,9.720000267028809,9.720000267028809,1760800,2021-03-09
2021-03-10,9.6899995803833,10.699999809265137,8.869999885559082,9.039999961853027,9.039999961853027,399700,2021-03-10
2021-03-11,9.0600004196167,9.579999923706055,8.789999961853027,9.149999618530273,9.149999618530273,375700,2021-03-11
2021-03-12,9.149999618530273,10.229999542236328,9.029999732971191,9.890000343322754,9.890000343322754,222200,2021-03-12
2021-03-15,10.380000114440918,10.510000228881836,10.0600004196167,10.180000305175781,10.180000305175781,258200,2021-03-15
2021-03-16,10.210000038146973,14.880000114440918,10.130000114440918,12.40999984741211,12.40999984741211,3990100,2021-03-16
2021-03-17,11.609999656677246,13.489999771118164,11.510000228881836,12.5600004196167,12.5600004196167,843800,2021-03-17
2021-03-18,12.600000381469727,12.899999618530273,11.329999923706055,11.40999984741211,11.40999984741211,424300,2021-03-18
2021-03-19,11.569999694824219,12.430000305175781,11.270000457763672,11.569999694824219,11.569999694824219,420600,2021-03-19
2021-03-22,11.470000267028809,12.5,11.449999809265137,12.449999809265137,12.449999809265137,435600,2021-03-22
2021-03-23,12.109999656677246,12.199999809265137,11.010000228881836,11.050000190734863,11.050000190734863,381200,2021-03-23
2021-03-24,11.09000015258789,11.739999771118164,10.510000228881836,10.960000038146973,10.960000038146973,222700,2021-03-24
2021-03-25,12.100000381469727,12.430000305175781,8.800000190734863,9.0,9.0,4482900,2021-03-25
2021-03-26,8.979999542236328,9.029999732971191,7.510000228881836,8.0600004196167,8.0600004196167,858800,2021-03-26
2021-03-29,8.100000381469727,8.149999618530273,7.050000190734863,7.090000152587891,7.090000152587891,509700,2021-03-29
2021-03-30,6.900000095367432,8.779999732971191,6.760000228881836,8.369999885559082,8.369999885559082,660700,2021-03-30
2021-03-31,8.239999771118164,8.359999656677246,7.639999866485596,8.210000038146973,8.210000038146973,365900,2021-03-31
2021-04-01,8.25,8.869999885559082,8.25,8.869999885559082,8.869999885559082,313800,2021-04-01
2021-04-05,8.899999618530273,9.039999961853027,8.5,8.59000015258789,8.59000015258789,219700,2021-04-05
2021-04-06,8.550000190734863,8.729999542236328,8.050000190734863,8.229999542236328,8.229999542236328,306600,2021-04-06
2021-04-07,8.0600004196167,8.079999923706055,7.679999828338623,7.829999923706055,7.829999923706055,185400,2021-04-07
2021-04-08,8.130000114440918,8.149999618530273,7.610000133514404,7.639999866485596,7.639999866485596,240700,2021-04-08
2021-04-09,7.630000114440918,7.730000019073486,7.199999809265137,7.320000171661377,7.320000171661377,348600,2021-04-09
2021-04-12,7.25,7.320000171661377,6.260000228881836,6.800000190734863,6.800000190734863,701500,2021-04-12
2021-04-13,7.039999961853027,7.25,6.789999961853027,7.21999979019165,7.21999979019165,210600,2021-04-13
2021-04-14,7.300000190734863,7.460000038146973,6.920000076293945,7.079999923706055,7.079999923706055,252700,2021-04-14
2021-04-15,7.099999904632568,7.199999809265137,6.809999942779541,6.889999866485596,6.889999866485596,238200,2021-04-15
2021-04-16,6.829999923706055,7.050000190734863,6.25,7.050000190734863,7.050000190734863,303900,2021-04-16
2021-04-19,7.019999980926514,7.130000114440918,6.409999847412109,6.579999923706055,6.579999923706055,154600,2021-04-19
2021-04-20,6.909999847412109,7.119999885559082,6.510000228881836,7.019999980926514,7.019999980926514,186400,2021-04-20
2021-04-21,7.090000152587891,7.460000038146973,6.769999980926514,7.389999866485596,7.389999866485596,205900,2021-04-21
2021-04-22,7.449999809265137,7.679999828338623,7.119999885559082,7.199999809265137,7.199999809265137,138100,2021-04-22
2021-04-23,7.110000133514404,7.179999828338623,6.860000133514404,7.019999980926514,7.019999980926514,138200,2021-04-23
2021-04-26,7.119999885559082,7.25,6.909999847412109,7.179999828338623,7.179999828338623,67000,2021-04-26
2021-04-27,7.260000228881836,7.320000171661377,7.010000228881836,7.25,7.25,141100,2021-04-27
2021-04-28,7.25,8.380000114440918,7.25,8.199999809265137,8.199999809265137,351800,2021-04-28
